name,x,y,z,yaw,pitch,row
center,0.0,0.0,0.0,0,0,0
v0,0.3,0.0,0.0,0,0,0
v1,0.09,-0.29,0.0,0,0,0
v2,-0.24,-0.18,0.0,0,0,0
v3,-0.24,0.18,0.0,0,0,0
v4,0.09,0.29,0.0,0,0,0
v5,-0.15,0.0,-0.26,0,0,0
v6,0.15,0.0,-0.26,0,0,0
v7,-0.15,0.0,0.26,0,0,0
v8,0.15,0.0,0.26,0,0,0
v9,0.0,0.0,0.0,0,0,0
